q_speaker,assembly,q_party,q_sex,q_elect_type,q_birth,q_term_count,q_mona_cd
송석준,22,국민의힘,,지역구,,3선,
박준태,22,국민의미래,,비례대표,,초선,
이성윤,22,더불어민주당,,지역구,,초선,
장경태,22,더불어민주당,,지역구,,재선,
박지원,22,더불어민주당,,지역구,,5선,
추경호,22,국민의힘,,지역구,,3선,
송옥주,22,더불어민주당,,지역구,,3선,
김용만,22,더불어민주당,,지역구,,초선,
강훈식,22,더불어민주당,,지역구,,3선,
김현정,22,더불어민주당,,지역구,,초선,
권성동,22,국민의힘,,지역구,,5선,
강준현,22,더불어민주당,,지역구,,재선,
유동수,22,더불어민주당,,지역구,,3선,
李憲昇,22,,,,,,
박상혁,22,더불어민주당,,지역구,,재선,
柳榮夏,22,,,,,,
천준호,22,더불어민주당,,지역구,,재선,
한창민,22,더불어민주연합,,비례대표,,초선,
조승래,22,더불어민주당,,지역구,,3선,
이강일,22,더불어민주당,,지역구,,초선,
강명구,22,국민의힘,,지역구,,초선,
신장식,22,조국혁신당,,비례대표,,초선,
강민국,22,국민의힘,,지역구,,재선,
김남근,22,더불어민주당,,지역구,,초선,
김상훈,22,국민의힘,,지역구,,4선,
민병덕,22,더불어민주당,,지역구,,재선,
김재섭,22,국민의힘,,지역구,,초선,
이인영,22,더불어민주당,,지역구,,5선,
이정문,22,더불어민주당,,지역구,,재선,
이헌승,22,국민의힘,,지역구,,4선,
유영하,22,국민의힘,,지역구,,초선,
