q_speaker,assembly,q_party,q_sex,q_elect_type,q_birth,q_term_count,q_mona_cd
강기갑,19,민주노동당,,,,재선,
이정선,19,한나라당,,,,초선,
황영철,19,새누리당,,지역구,,3선,
노영민,19,민주통합당,,지역구,,3선,
김낙성,19,자유선진당,,,,재선,
이화수,19,한나라당,,,,초선,
박우순,19,민주당,,,,초선,
유재중,19,새누리당,,지역구,,3선,
김광림,19,새누리당,,지역구,,3선,
김세연,19,새누리당,,지역구,,3선,
김진표,19,민주통합당,,지역구,,5선,
이윤석,19,민주통합당,,지역구,,재선,
나성린,18,한나라당,,비례대표,,재선,
임영호,18,자유선진당,,지역구,,초선,
김효석,18,통합민주당,,지역구,,3선,
진수희,18,한나라당,,지역구,,재선,
박병석,18,통합민주당,,지역구,,6선,
강운태,18,무소속,,지역구,,재선,
김성식,18,한나라당,,지역구,,재선,
박종근,18,친박연대,,지역구,,4선,
배영식,18,한나라당,,지역구,,초선,
양정례,18,친박연대,,비례대표,,초선,
강성종,18,통합민주당,,지역구,,재선,
안효대,18,한나라당,,지역구,,재선,
김광림,18,무소속,,지역구,,3선,
정양석,18,한나라당,,지역구,,재선,
차명진,18,한나라당,,지역구,,재선,
이광재,18,통합민주당,,지역구,,3선,
류근찬,18,자유선진당,,지역구,,재선,
김영록,18,무소속,,지역구,,재선,
성윤환,18,무소속,,지역구,,초선,
신성범,18,한나라당,,지역구,,3선,
여상규,18,한나라당,,지역구,,3선,
윤영,18,한나라당,,지역구,,초선,
정해걸,18,무소속,,지역구,,초선,
조진래,18,한나라당,,지역구,,초선,
황영철,18,한나라당,,지역구,,3선,
송훈석,18,무소속,,지역구,,3선,
김우남,18,통합민주당,,지역구,,3선,
강석호,18,한나라당,,지역구,,3선,
김성수,18,한나라당,,지역구,,초선,
정범구,18,민주당,,지역구,,재선,
진성호,18,한나라당,,지역구,,초선,
최문순,18,통합민주당,,비례대표,,초선,
허원제,18,한나라당,,지역구,,초선,
김을동,18,친박연대,,비례대표,,재선,
홍사덕,18,친박연대,,지역구,,6선,
강승규,18,한나라당,,지역구,,재선,
최종원,18,민주당,,지역구,,초선,
김성동,18,한나라당,,비례대표,,초선,
이용경,18,창조한국당,,비례대표,,초선,
안형환,18,한나라당,,지역구,,초선,
이병석,18,한나라당,,지역구,,4선,
장병완,18,민주통합당,,지역구,,3선,
이철우,18,한나라당,,지역구,,3선,
조윤선,18,한나라당,,비례대표,,초선,
조진형,18,한나라당,,지역구,,3선,
전혜숙,18,통합민주당,,비례대표,,3선,
김창수,18,자유선진당,,지역구,,초선,
손범규,18,한나라당,,지역구,,초선,
박민식,18,한나라당,,지역구,,재선,
홍일표,18,한나라당,,지역구,,3선,
노철래,18,친박연대,,비례대표,,재선,
최병국,18,한나라당,,지역구,,3선,
우윤근,18,통합민주당,,지역구,,3선,
박준선,18,한나라당,,지역구,,초선,
이정현,18,한나라당,,비례대표,,3선,
이은재,18,한나라당,,비례대표,,재선,
이상권,18,한나라당,,지역구,,초선,
신지호,18,한나라당,,지역구,,초선,
이두아,18,한나라당,,비례대표,,초선,
김학재,18,민주당,,비례대표,,초선,
박은수,18,통합민주당,,비례대표,,초선,
최영희,18,통합민주당,,비례대표,,초선,
김금래,18,한나라당,,비례대표,,초선,
원희목,18,한나라당,,비례대표,,초선,
유재중,18,무소속,,지역구,,3선,
윤석용,18,한나라당,,지역구,,초선,
이애주,18,한나라당,,비례대표,,초선,
이춘식,18,한나라당,,비례대표,,초선,
추미애,18,통합민주당,,지역구,,6선,
정하균,18,친박연대,,비례대표,,초선,
이해봉,18,무소속,,지역구,,4선,
곽정숙,18,민주노동당,,비례대표,,초선,
강명순,18,한나라당,,비례대표,,초선,
신상진,18,한나라당,,지역구,,4선,
김혜성,18,친박연대,,비례대표,,초선,
김소남,18,한나라당,,비례대표,,초선,
이정선,18,한나라당,,비례대표,,초선,
박선영,18,자유선진당,,비례대표,,초선,
이화수,18,한나라당,,지역구,,초선,
홍정욱,18,한나라당,,지역구,,초선,
박주선,18,통합민주당,,지역구,,4선,
구상찬,18,한나라당,,지역구,,초선,
신낙균,18,통합민주당,,비례대표,,재선,
최재성,18,통합민주당,,지역구,,4선,
김형오,18,한나라당,,지역구,,5선,
김효재,18,한나라당,,지역구,,초선,
윤상현,18,한나라당,,지역구,,5선,
김호연,18,한나라당,,지역구,,초선,
송민순,18,통합민주당,,비례대표,,초선,
이상득,18,한나라당,,지역구,,6선,
안상수,18,한나라당,,지역구,,4선,
이회창,18,자유선진당,,지역구,,4선,
박선숙,18,통합민주당,,비례대표,,재선,
이성남,18,통합민주당,,비례대표,,초선,
